university,program,rating,period_of_study,Start_of_studies,Diploma,language,Total_costs,location,program_link
Wismar University of Applied Sciences,Architectural Lighting Design (MA),,4 semesters,Winter semester,Master of Arts,English,,Wismar,https://www.studycheck.de/studium/architektur/hs-wismar-10957
Wismar University of Applied Sciences,Architecture (BA),4.1,6 semesters,Winter semester,Bachelor of Arts,German,,Wismar,https://www.studycheck.de/studium/architektur/hs-wismar-12558
Wismar University of Applied Sciences,Architecture (MA),4.1,4 semesters,Summer & winter semester,Master of Arts,German English,,Wismar,https://www.studycheck.de/studium/architektur/hs-wismar-10958
Wismar University of Applied Sciences,Civil Engineering (B.Eng.),4.3,,Winter semester,Bachelor of Engineering,German,,Wismar,https://www.studycheck.de/studium/bauingenieurwesen/hs-wismar-17319
Wismar University of Applied Sciences,Civil Engineering (M.Eng.),3.2,3 semesters,Summer & winter semester,Master of Engineering,German,,Wismar,https://www.studycheck.de/studium/bauingenieurwesen/hs-wismar-11520
Wismar University of Applied Sciences,Business Administration (BA),4.0,,Winter semester,,,,Wismar,https://www.studycheck.de/studium/betriebswirtschaftslehre-bwl/hs-wismar-12401
Wismar University of Applied Sciences,Business Administration (MA),4.4,,,,,,,https://www.studycheck.de/studium/betriebswirtschaftslehre-bwl/hs-wismar-11695
Wismar University of Applied Sciences,Design – Product and Jewellery (BA),4.3,,Winter semester,,,,Wismar,https://www.studycheck.de/studium/design/hs-wismar-25289
Wismar University of Applied Sciences,German and international business law (LL.M.),,3 semesters,Summer semester,Master of Laws,"German, English, Russian",,Wismar,https://www.studycheck.de/studium/wirtschaftsrecht/hs-wismar-23165
Wismar University of Applied Sciences,Digital Logistics and Management (M.Sc.),3.8,,,,,,,https://www.studycheck.de/studium/digitale-logistik-und-management/hs-wismar-7392
Wismar University of Applied Sciences,Entrepreneurship (MA),,,,,,,,https://www.studycheck.de/studium/entrepreneurship/hs-wismar-31994
Wismar University of Applied Sciences,"Finance, Accounting, Controlling, Taxation (MA)",,,Summer & winter semester,,German,,Wismar,https://www.studycheck.de/studium/finance-and-accounting/hs-wismar-32887
Wismar University of Applied Sciences,Human Resource Management (MA),3.9,,,,,,,https://www.studycheck.de/studium/human-resource-management/hs-wismar-30785
Wismar University of Applied Sciences,Information and Electrical Engineering (B.Eng.),3.3,7 semesters,Winter semester,Bachelor of Engineering,German,,Wismar,https://www.studycheck.de/studium/elektro-und-informationstechnik/hs-wismar-2067
Wismar University of Applied Sciences,Information and Electrical Engineering (M.Eng.),4.2,3 semesters,Summer & winter semester,Master of Engineering,German,,Wismar,https://www.studycheck.de/studium/elektro-und-informationstechnik/hs-wismar-9501
Wismar University of Applied Sciences,Interior Design (BA),3.8,7 semesters,Winter semester,Bachelor of Arts,German,,Wismar,https://www.studycheck.de/studium/innenarchitektur/hs-wismar-4813
Wismar University of Applied Sciences,Interior Design (MA),3.7,3 semesters,Summer & winter semester,Master of Arts,German,,Wismar,https://www.studycheck.de/studium/innenarchitektur/hs-wismar-7397
Wismar University of Applied Sciences,International Management (MA),4.0,3 semesters,Summer & winter semester,Master of Arts,English,,Wismar,https://www.studycheck.de/studium/internationales-management/hs-wismar-23161
Wismar University of Applied Sciences,Communication Design and Media (Diploma),3.9,8 semesters,Winter semester,diploma,German,,Wismar,https://www.studycheck.de/studium/kommunikationsdesign/hs-wismar-5637
Wismar University of Applied Sciences,Legal Tech (LL.B.),,,Winter semester,,,,Wismar,https://www.studycheck.de/studium/it-recht/hs-wismar-32872
Wismar University of Applied Sciences,Marine Engineering (B.Eng.),,7 semesters,Summer & winter semester,"Bachelor of Engineering
                                                                    Degree is awarded by: Wismar University of Applied Sciences, November Institute of Technology Indonesia",English,,Wismar,https://www.studycheck.de/studium/schiffbau-und-meerestechnik/hs-wismar-23162
Wismar University of Applied Sciences,Marine Engineering (M.Sc.),,4 semesters,Winter semester,"Master of Science
                                                                    Degree is awarded by: Wismar University of Applied Sciences",English,,Wismar,https://www.studycheck.de/studium/engineering/hs-wismar-31627
Wismar University of Applied Sciences,Maritime Pilotage (M.Eng.),,4 semesters,Winter semester,Master of Engineering,German,,Rostock,https://www.studycheck.de/studium/seeverkehr/hs-wismar-32957
Wismar University of Applied Sciences,Mechanical Engineering (B.Eng.),4.3,,,,,,,https://www.studycheck.de/studium/maschinenbau/hs-wismar-12780
Wismar University of Applied Sciences,Mechanical Engineering – Process and Energy Engineering (M.Eng.),4.3,,Summer & winter semester,,,,Wismar,https://www.studycheck.de/studium/maschinenbau/hs-wismar-23163
Wismar University of Applied Sciences,Material Culture Design (MA),4.4,,,,,,,https://www.studycheck.de/studium/design/hs-wismar-25290
Wismar University of Applied Sciences,Mechatronics (B.Eng.),4.4,,Winter semester,Bachelor of Engineering,German,,Wismar,https://www.studycheck.de/studium/mechatronik/hs-wismar-2858
Wismar University of Applied Sciences,Mechatronics (M.Eng.),4.3,3 semesters,Summer & winter semester,Master of Engineering,German,,Wismar,https://www.studycheck.de/studium/mechatronik/hs-wismar-10687
Wismar University of Applied Sciences,Nautical Sciences/Transport Operations (B.Sc.),4.3,8 semesters,Summer & winter semester,Bachelor of Science,English,,Rostock,https://www.studycheck.de/studium/nautik/hs-wismar-24945
Wismar University of Applied Sciences,Nautical Science/Transportation Operations (B.Sc.),3.9,,Winter semester,Bachelor of Science,German,,Rostock,https://www.studycheck.de/studium/nautik/hs-wismar-16125
Wismar University of Applied Sciences,Operation and Management of Maritime Systems (M.Sc.),,3 semesters,Winter semester,Master of Science,English,,Rostock,https://www.studycheck.de/studium/maritime-management/hs-wismar-7929
Wismar University of Applied Sciences,Ship Operations/Plants and Supply Engineering (B.Sc.),4.2,,Winter semester,Bachelor of Science,German,,Rostock,https://www.studycheck.de/studium/schiffstechnik/hs-wismar-16127
Wismar University of Applied Sciences,Marine Electrical Engineering (B.Sc.),4.0,8 semesters,Winter semester,Bachelor of Science,German,,"Rostock, Wismar",https://www.studycheck.de/studium/schiffstechnik/hs-wismar-20955
Wismar University of Applied Sciences,Tax and Business Consulting (Master),,4 semesters,Summer semester,master,German,,Wismar,https://www.studycheck.de/studium/tax-and-business-consulting/hs-wismar-6906
Wismar University of Applied Sciences,Technische Gebäudeplanung - Smart Building Engineering (B.Eng.),,,,,,,,https://www.studycheck.de/studium/gebaeudetechnik/hs-wismar-26379
Wismar University of Applied Sciences,"Process Engineering - Energy, Environmental and Biotechnology (B.Eng.)",4.3,,,,,,,https://www.studycheck.de/studium/verfahrenstechnik/hs-wismar-16126
Wismar University of Applied Sciences,Business Information Systems (B.Sc.),3.5,,Winter semester,,German,,Wismar,https://www.studycheck.de/studium/wirtschaftsinformatik/hs-wismar-15869
Wismar University of Applied Sciences,Business Information Systems (M.Sc.),3.7,,,,,,,https://www.studycheck.de/studium/wirtschaftsinformatik/hs-wismar-11694
Wismar University of Applied Sciences,Business Law (LL.B.),4.0,,Winter semester,,,,Wismar,https://www.studycheck.de/studium/wirtschaftsrecht/hs-wismar-16007
Wismar University of Applied Sciences,Business Law (LL.M.),3.5,,,,,,,https://www.studycheck.de/studium/wirtschaftsrecht/hs-wismar-11521
Bonn-Rhein-Sieg University of Applied Sciences,Analytical Chemistry and Quality Assurance (M.Sc.),3.8,4 semesters,Winter semester,Master of Science,German English,,Rheinbach,https://www.studycheck.de/studium/analytische-chemie/hs-brs-10475
Bonn-Rhein-Sieg University of Applied Sciences,Applied Biology (B.Sc.),3.6,,,,,,,https://www.studycheck.de/studium/biologie/hs-brs-1737
Bonn-Rhein-Sieg University of Applied Sciences,Autonomous Systems (M.Sc.),4.5,4 semesters,Summer & winter semester,Master of Science,English,,Saint Augustine,https://www.studycheck.de/studium/autonome-systeme/hs-brs-11324
Bonn-Rhein-Sieg University of Applied Sciences,Business Administration (B.Sc.),3.8,,,,,,,https://www.studycheck.de/studium/betriebswirtschaftslehre-bwl/hs-brs-15176
Bonn-Rhein-Sieg University of Applied Sciences,Biomedical Sciences (M.Sc.),3.8,4 semesters,Winter semester,Master of Science,English,,Rheinbach,https://www.studycheck.de/studium/biomedical-sciences/hs-brs-11462
Bonn-Rhein-Sieg University of Applied Sciences,Controlling and Management (M.Sc.),3.7,4 semesters,Summer semester,Master of Science,German English,,Saint Augustine,https://www.studycheck.de/studium/controlling-finanzen-und-management/hs-brs-9481
Bonn-Rhein-Sieg University of Applied Sciences,CSR & NGO Management (MBA),,3 semesters,Winter semester,Master of Business Administration,English,,"Rheinbach, St. Augustin",https://www.studycheck.de/studium/nonprofit-management-and-governance/hs-brs-8759
Bonn-Rhein-Sieg University of Applied Sciences,Cyber ​​Security & Privacy (B.Sc.),3.9,6 semesters,Winter semester,Bachelor of Science,German,,Saint Augustine,https://www.studycheck.de/studium/internet-sicherheit/hs-brs-25846
Bonn-Rhein-Sieg University of Applied Sciences,Cyber ​​Security & Privacy (M.Sc.),,4 semesters,Summer & winter semester,Master of Science,German,,Saint Augustine,https://www.studycheck.de/studium/internet-sicherheit/hs-brs-32087
Bonn-Rhein-Sieg University of Applied Sciences,Digital Communication and Media Innovation (MA),,3 semesters,Summer semester,Master of Arts,German,,Saint Augustine,https://www.studycheck.de/studium/information-und-kommunikation/hs-brs-32088
Bonn-Rhein-Sieg University of Applied Sciences,Electrical Engineering (B.Eng.),4.1,,,,,,,https://www.studycheck.de/studium/elektrotechnik/hs-brs-16454
Bonn-Rhein-Sieg University of Applied Sciences,Electrical Engineering (M.Eng.),4.6,3 semesters,Summer semester,Master of Engineering,German,,Saint Augustine,https://www.studycheck.de/studium/elektrotechnik/hs-brs-9907
Bonn-Rhein-Sieg University of Applied Sciences,Computer Science (B.Sc.),3.8,,,,,,,https://www.studycheck.de/studium/informatik/hs-brs-12585
Bonn-Rhein-Sieg University of Applied Sciences,Computer Science (M.Sc.),4.3,4 semesters,Summer & winter semester,Master of Science,German,,Saint Augustine,https://www.studycheck.de/studium/informatik/hs-brs-10923
Bonn-Rhein-Sieg University of Applied Sciences,Innovation and Information Management (M.Sc.),4.4,4 semesters,Summer semester,Master of Science,German English,,Saint Augustine,https://www.studycheck.de/studium/innovationsmanagement/hs-brs-9482
Bonn-Rhein-Sieg University of Applied Sciences,International Business (B.Sc.),3.9,7 semesters,Winter semester,Bachelor of Science,English,,Saint Augustine,https://www.studycheck.de/studium/international-business-studies/hs-brs-20992
Bonn-Rhein-Sieg University of Applied Sciences,International Media Studies (MA),3.7,4 semesters,Winter semester,Master of Arts,English,"6,000 €¹",Saint Augustine,https://www.studycheck.de/studium/international-media-studies/hs-brs-8092
Bonn-Rhein-Sieg University of Applied Sciences,Marketing (M.Sc.),3.8,3 semesters,Winter semester,Master of Science,English,,Rheinbach,https://www.studycheck.de/studium/marketing/hs-brs-20995
Bonn-Rhein-Sieg University of Applied Sciences,Mechanical Engineering (B.Eng.),4.0,,,,,,,https://www.studycheck.de/studium/maschinenbau/hs-brs-16235
Bonn-Rhein-Sieg University of Applied Sciences,Mechanical Engineering (M.Eng.),3.8,3 semesters,Summer semester,Master of Engineering,German,,Saint Augustine,https://www.studycheck.de/studium/maschinenbau/hs-brs-20996
Bonn-Rhein-Sieg University of Applied Sciences,Materials Science and Sustainability Methods (M.Sc.),4.6,4 semesters,Winter semester,Master of Science,German English,,Rheinbach,https://www.studycheck.de/studium/materialwissenschaft/hs-brs-20997
Bonn-Rhein-Sieg University of Applied Sciences,Sustainable Chemistry and Materials (B.Sc.),4.0,,,,,,,https://www.studycheck.de/studium/chemie-mit-materialwissenschaften/hs-brs-2504
Bonn-Rhein-Sieg University of Applied Sciences,Sustainable Engineering (B.Eng.),3.9,,Winter semester,Bachelor of Engineering,German,,Saint Augustine,https://www.studycheck.de/studium/orchideenfaecher-technik-ingenieurwesen/hs-brs-20990
Bonn-Rhein-Sieg University of Applied Sciences,Sustainable Engineering (M.Eng.),3.7,3 semesters,Summer semester,Master of Engineering,German,,Saint Augustine,https://www.studycheck.de/studium/allgemeine-ingenieurwissenschaft/hs-brs-26902
Bonn-Rhein-Sieg University of Applied Sciences,Sustainable Social Policy (BA),3.9,,,,,,,https://www.studycheck.de/studium/sozialpolitik/hs-brs-20991
Bonn-Rhein-Sieg University of Applied Sciences,Scientific Forensics (B.Sc.),3.7,6 semesters,Winter semester,Bachelor of Science,German English,,Rheinbach,https://www.studycheck.de/studium/naturwissenschaftliche-forensik/hs-brs-3687
Bonn-Rhein-Sieg University of Applied Sciences,Social Protection (M.Sc.),3.6,4 semesters,Winter semester,Master of Science,English,,Saint Augustine,https://www.studycheck.de/studium/sozialversicherung/hs-brs-18761
Bonn-Rhein-Sieg University of Applied Sciences,Start-up Development (MBA),4.7,,,,,,,https://www.studycheck.de/studium/unternehmensentwicklung/hs-brs-25845
